Path_id	Path_description	Path_category	Path_type
hsa05170	Human immunodeficiency virus 1 infection - Homo sapiens (human)	Human Diseases; Infectious disease: viral	signaling
hsa05171	Coronavirus disease - COVID-19 - Homo sapiens (human)	Human Diseases; Infectious disease: viral	signaling
hsa05200	Pathways in cancer - Homo sapiens (human)	Human Diseases; Cancer: overview	signaling
hsa05202	Transcriptional misregulation in cancer - Homo sapiens (human)	Human Diseases; Cancer: overview	signaling
hsa05203	Viral carcinogenesis - Homo sapiens (human)	Human Diseases; Cancer: overview	signaling
hsa05204	Chemical carcinogenesis - Homo sapiens (human)	Human Diseases; Cancer: overview	signaling
hsa05205	Proteoglycans in cancer - Homo sapiens (human)	Human Diseases; Cancer: overview	signaling
hsa05206	MicroRNAs in cancer - Homo sapiens (human)	Human Diseases; Cancer: overview	signaling
hsa05210	Colorectal cancer - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05211	Renal cell carcinoma - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05212	Pancreatic cancer - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05213	Endometrial cancer - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05214	Glioma - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05215	Prostate cancer - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05216	Thyroid cancer - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05217	Basal cell carcinoma - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05218	Melanoma - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05219	Bladder cancer - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05220	Chronic myeloid leukemia - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05221	Acute myeloid leukemia - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05222	Small cell lung cancer - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05223	Non-small cell lung cancer - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05224	Breast cancer - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05225	Hepatocellular carcinoma - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05226	Gastric cancer - Homo sapiens (human)	Human Diseases; Cancer: specific types	signaling
hsa05230	Central carbon metabolism in cancer - Homo sapiens (human)	Human Diseases; Cancer: overview	signaling
hsa05231	Choline metabolism in cancer - Homo sapiens (human)	Human Diseases; Cancer: overview	signaling
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)	Human Diseases; Cancer: overview	signaling
hsa05310	Asthma - Homo sapiens (human)	Human Diseases; Immune disease	signaling
hsa05320	Autoimmune thyroid disease - Homo sapiens (human)	Human Diseases; Immune disease	signaling
hsa05321	Inflammatory bowel disease - Homo sapiens (human)	Human Diseases; Immune disease	signaling
hsa05322	Systemic lupus erythematosus - Homo sapiens (human)	Human Diseases; Immune disease	signaling
hsa05323	Rheumatoid arthritis - Homo sapiens (human)	Human Diseases; Immune disease	signaling
hsa05330	Allograft rejection - Homo sapiens (human)	Human Diseases; Immune disease	signaling
hsa05332	Graft-versus-host disease - Homo sapiens (human)	Human Diseases; Immune disease	signaling
hsa05340	Primary immunodeficiency - Homo sapiens (human)	Human Diseases; Immune disease	signaling
hsa05410	Hypertrophic cardiomyopathy - Homo sapiens (human)	Human Diseases; Cardiovascular disease	signaling
hsa05412	Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)	Human Diseases; Cardiovascular disease	signaling
hsa05414	Dilated cardiomyopathy - Homo sapiens (human)	Human Diseases; Cardiovascular disease	signaling
hsa05415	Diabetic cardiomyopathy - Homo sapiens (human)	Human Diseases; Cardiovascular disease	signaling
hsa05416	Viral myocarditis - Homo sapiens (human)	Human Diseases; Cardiovascular disease	signaling
hsa05418	Fluid shear stress and atherosclerosis - Homo sapiens (human)	Human Diseases; Cardiovascular disease	signaling
